Feature,Importance
Product_ID_P00238442,2248.538061100211
Product_ID_P00288042,2236.0950592561026
Product_ID_P00289042,2227.7077426819797
Product_ID_P00126142,2226.9103352855655
Product_ID_P00228442,2196.171099709583
Product_ID_P00333042,2162.725006800685
Product_ID_P00112242,2159.090217620304
Product_ID_P00304042,2159.056747131512
Product_ID_P00276342,2147.5138383498247
Product_ID_P00321942,2143.07103322079
Product_ID_P00009242,2138.2423940207264
Product_ID_P00205642,2119.0162701724257
Product_ID_P00120342,2090.621625407249
Product_ID_P00323142,2089.5290189064453
Product_ID_P00293742,2081.1474338354365
Product_ID_P00142942,2080.320530835739
Product_ID_P00177342,2061.2711297185188
Product_ID_P00331542,2046.0572089970879
Product_ID_P00217742,2043.887845590735
Product_ID_P00111942,2032.196613679238
Product_ID_P00178842,2016.8970036524615
Product_ID_P00174442,2003.0796545053756
Product_ID_P00271442,1999.0657645134718
Product_ID_P00366542,1982.8257933762575
Product_ID_P00001042,1976.810310064355
Product_ID_P00130742,1970.4173059054835
Product_ID_P00195742,1969.131885804739
Product_ID_P00259442,1960.865118600914
Product_ID_P00278642,1954.9025968853703
Product_ID_P00297842,1932.0456611929853
Product_ID_P00296942,1930.6328407996148
Product_ID_P00208142,1929.5639291286263
Product_ID_P00057742,1922.680868853675
Product_ID_P00090842,1922.6780555180771
Product_ID_P00032842,1920.5226518669974
Product_ID_P00017142,1913.777093778158
Product_ID_P00002442,1910.6697992526274
Product_ID_P0096542,1909.6418768670371
Product_ID_P00241142,1908.2771066572443
Product_ID_P00296042,1894.450950075139
Product_ID_P00255942,1882.1083956291616
Product_ID_P00293242,1877.1378544935585
Product_ID_P00128042,1874.145495265609
Product_ID_P00152742,1869.3311275371734
Product_ID_P00324242,1868.174618404809
Product_ID_P00265542,1867.6649654644532
Product_ID_P00177842,1863.232049114971
Product_ID_P00284042,1844.4012146719865
Product_ID_P00282642,1842.257015713889
Product_ID_P00125942,1836.990867073853
Product_ID_P00149842,1825.4273311864954
Product_ID_P00028842,1823.3609489788346
Product_ID_P00350342,1823.061422625403
Product_ID_P00050742,1798.5042361545513
Product_ID_P00220442,1790.6588808901079
Product_ID_P00128742,1782.9528059871514
Product_ID_P00131542,1782.1700237701
Product_ID_P00048442,1768.40038313956
Product_ID_P00354642,1767.0803075948681
Product_ID_P00108442,1762.5349189658775
Product_ID_P00304142,1718.97478118323
Product_ID_P00299842,1702.510264986921
Product_ID_P00101042,1702.0983676828318
Product_ID_P00100442,1701.9477757245122
Product_ID_P00194642,1699.251987673969
Product_ID_P00025642,1696.1753229192163
Product_ID_P00227842,1692.284969500283
Product_ID_P00279342,1684.3799249180759
Product_ID_P00151742,1673.2410407333684
Product_ID_P00285342,1672.8861501642377
Product_ID_P00271142,1664.2817492593665
Product_ID_P00024242,1646.6020148298
Product_ID_P00232742,1637.012440150055
Product_ID_P00027442,1635.836961998622
Product_ID_P00183242,1626.761004538548
Product_ID_P00151142,1606.2028572834313
Product_ID_P00332942,1593.4406407879321
Product_ID_P00256542,1577.8215032153892
Product_ID_P00345842,1568.5844076826763
Product_ID_P00303142,1562.2474405329701
Product_ID_P00213242,1547.012243241142
Product_ID_P00204242,1541.7674528237583
Product_ID_P00003942,1540.2313806662962
Product_ID_P00086042,1533.2704406791947
Product_ID_P00273942,1524.7194684462545
Product_ID_P00144342,1508.3289469008412
Product_ID_P00024742,1501.819460194643
Product_ID_P00286842,1500.0046596527245
Product_ID_P00282042,1494.5150558813878
Product_ID_P00288642,1489.4180205138289
Product_ID_P00173242,1487.1615827213157
Product_ID_P00233342,1475.639252306468
Product_ID_P00059442,1474.6542625819545
Product_ID_P00058242,1472.6040827348777
Product_ID_P00209742,1462.4677778088937
Product_ID_P00069242,1455.8796491737478
